Русский язык,,,,,,,,,,,,,,История,,,,,,,Физика,,,,,,,,,,,,,,Информатика,,,,,,,,,,,,,,Обществознание,,,,,,,,,,,,,,,Математика,,,,,,,,,,,,
ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,
№,дата,формат,кол-во заданий,кол-во заданий (сумма),готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,тема,кол-во заданий,кто делает,готово?,,№,дата,раздел,тема,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?
31,15.05,"22, 23-26",по 1,5,TRUE,,31,06.05,9 (ОГЭ),15,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,31,22.05,"13, 19-21, 25",по 1,,TRUE,,,,,,,,,16,06.05,Экономика 2.16 Ценные бумаги и фондовый рынок,6,,TRUE,,,,Экономика,Экономические функции домохозяйств. Семейный бюджет,10,,FALSE,,31,05.05,1 1 2 3 3 4 7 9 10 12 13,11,,TRUE,,,,,,,
32,16.05,"4-8, 9-15",по 1,12,TRUE,,32,07.05,9 (ОГЭ),15,Даша,TRUE,,,,,,,,,,"Задания 5, 6, 9, 10, 14, 15, 17, 18 оцениваются в два балла:
2 балла: 0 ошибок
1 балл: 1 ошибка
0 баллов: 2+ ошибок",,,,,,,"Задания 1, 2, 4, 12, 13, 14, 16 оцениваются в два балла:
2 балла: 0 ошибок
1 балл: 1 ошибка
0 баллов: 2+ ошибок",,,,,,32,23.05,"5, 6, 8, 14",по 1,,TRUE,,,,,,,,,,,Экономика 2.17 Финансовое поведение и финансовая грамотность,7,,TRUE,,17,11.05,Социология,Социальная структура общества. Социальные общности и группы,10,,FALSE,,32,06.05,1 3 3 6 7  8 9 10 11 12 15,11,,TRUE,,,,,,,
33,17.05,"1-3, 23-26",по 1,7,TRUE,,33,08.05,"8, 9 (ОГЭ)",по 7,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,33,24.05,"9, 17, 24",по 1,,TRUE,,,,,,,,,,,Экономика 2.18 Деньги и денежное обращение,6,,TRUE,,,,Социология,Социальный статус и социальная роль,10,,FALSE,,33,07.05,1 2 3 3 4 6 7 9 10 12 16,11,,TRUE,,,,,,,
34,18.05,"4-8, 16-21",по 1,11,TRUE,,34,09.05,"8, 9 (ОГЭ)",по 7,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,07.05,Социология 3.1 Социальная стратификация и мобильность,10,,TRUE,,18,12.05,Социология,Социализация индивида. Агенты социализации,10,,FALSE,,34,08.05,1 3 3 6 7 8 9 10 11 12 13,11,,TRUE,,,,,,,
35,19.05,с 4 по 22,по 1,19,TRUE,,35,10.05,"8, 9 (ОГЭ)",по 7,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Социология 3.2 Социальные группы,10,,TRUE,,,,Социология,Социальные ценности и нормы. Отклоняющееся поведение,10,,FALSE,,35,09.05,1 2 3 3 4 7 9 10 11 12 15,11,,TRUE,,,,,,,
36,20.05,"1-3, 23-26",по 1,7,TRUE,,36,11.05,10-12 (ОГЭ),по 3,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,08.05,Социология 3.3 Молодёжь как социальная группа,10,,TRUE,,19,13.05,Социология,Семья как малая группа и социальный институт,10,,FALSE,,36,10.05,1 2 3 6 7 8 9 10 11 12 16,11,,TRUE,,,,,,,
37,21.05,с 4 по 22,по 1,19,TRUE,,37,12.05,10-12 (ОГЭ),по 3,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Социология 3.4 Этнические общности. Межнациональные отношения и конфликты,10,,TRUE,,,,Социология,Отношения между поколениями,10,,FALSE,,37,11.05,1 2 3 4 7 8 9 10 11 12 13,11,,TRUE,,,,,,,
38,22.05,"1-3, 23-26",по 1,7,TRUE,,38,13.05,10-12 (ОГЭ),по 3,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,09.05,Социология 3.5 Социальный конфликт и пути его разрешения,10,,TRUE,,20,14.05,Социология,Этнические общности. Межнациональные отношения,10,,FALSE,,38,12.05,1 2 3 6 7 8 9 10 11 12 15 ,11,,TRUE,,,,,,,
39,23.05,с 4 по 22,по 1,19,TRUE,,39,14.05,"2, 3 (ОГЭ)",по 5,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Социология 3.6 Социальные нормы и социальный контроль. Виды социальных норм,10,,TRUE,,,,Социология,Социальный конфликт и пути его разрешения,10,,FALSE,,39,13.05,1 2 3 4 6 8 9 10 11 12 16,11,,TRUE,,,,,,,
40,24.05,"1-3, 23-26",по 1,7,TRUE,,40,15.05,"4, 5 (ОГЭ)",по 5,Даша,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10.05,Социология 3.7 Семья и брак. Правовые основы семьи,10,,TRUE,,21,15.05,Политика,Политика и власть. Роль политики в жизни общества,10,,FALSE,,40,14.05,1 2 3 4 5 6 8 9 10 11 13,11,,TRUE,,,,,,,
